
    Afghanistan  Afghanistan (70)
    Albania  Albania (125)
    Algeria  Algeria (184)
    Andorra  Andorra (35)
    Angola  Angola (18)
    Antigua  Antigua (5)
    Argentina  Argentina (983)
    Armenia  Armenia (116)
    Aruba  Aruba (5)
    Australia  Australia (3460)
    Austria  Austria (1115)
    Azerbaijan  Azerbaijan (119)
    Bahamas  Bahamas (14)
    Bahrain  Bahrain (24)
    Bangladesh  Bangladesh (1186)
    Barbados  Barbados (13)
    Belarus  Belarus (592)
    Belgium  Belgium (1632)
    Belize  Belize (14)
    Benin  Benin (10)
    Bermuda  Bermuda (14)
    Bhutan  Bhutan (9)
    Bolivia  Bolivia (117)
    Bosnia  Bosnia (136)
    Botswana  Botswana (11)
    Brazil  Brazil (3565)
    Brunei  Brunei (12)
    Bulgaria  Bulgaria (837)
    Burkina Faso  Burkina Faso (12)
    Burundi  Burundi (5)
    Cambodia  Cambodia (35)
    Cameroon  Cameroon (32)
    Canada  Canada (6639)
    Cape Verde  Cape Verde (14)
    Caribbean Netherlands  Caribbean Netherlands (3)
    Cayman Islands  Cayman Islands (7)
    Central African Republic  Central African Republic (13)
    Chad  Chad (2)
    Chile  Chile (403)
    China  China (5565)
    Christmas Island  Christmas Island (26)
    Colombia  Colombia (571)
    Comoros  Comoros (4)
    Congo  Congo (9)
    Costa Rica  Costa Rica (99)
    Croatia  Croatia (605)
    Cuba  Cuba (118)
    Curacao  Curacao (2)
    Cyprus  Cyprus (105)
    Czech Republic  Czech Republic (1217)
    Denmark  Denmark (1702)
    Djibouti  Djibouti (27)
    Dominica  Dominica (4)
    Dominican Republic  Dominican Republic (282)
    DPR of Korea  DPR of Korea (43)
    DR of Congo  DR of Congo (15)
    East Timor  East Timor (5)
    Ecuador  Ecuador (108)
    Egypt  Egypt (850)
    El Salvador  El Salvador (56)
    England  England (7783)
    Equatorial Guinea  Equatorial Guinea (6)
    Eritrea  Eritrea (9)
    Estonia  Estonia (454)
    Ethiopia  Ethiopia (67)
    Faroe Islands  Faroe Islands (10)
    Fiji  Fiji (18)
    Finland  Finland (1450)
    France  France (4991)
    FYR of Macedonia  FYR of Macedonia (119)
    Gabon  Gabon (9)
    Gambia  Gambia (4)
    Georgia  Georgia (65)
    Germany  Germany (8343)
    Ghana  Ghana (81)
    Gibraltar  Gibraltar (8)
    Greece  Greece (1016)
    Greenland  Greenland (2)
    Grenada  Grenada (4)
    Guatemala  Guatemala (97)
    Guernsey  Guernsey (9)
    Guinea  Guinea (4)
    Guinea Bissau  Guinea Bissau (4)
    Guyana  Guyana (6)
    Haiti  Haiti (18)
    Honduras  Honduras (46)
    Hong Kong  Hong Kong (450)
    Hungary  Hungary (1562)
    Iceland  Iceland (383)
    India  India (12402)
    Indonesia  Indonesia (1345)
    Iran  Iran (1560)
    Iraq  Iraq (31)
    Ireland  Ireland (1170)
    Isle of Man  Isle of Man (27)
    Israel  Israel (1968)
    Italy  Italy (2360)
    Ivory Coast  Ivory Coast (9)
    Jamaica  Jamaica (48)
    Japan  Japan (3546)
    Jersey  Jersey (17)
    Jordan  Jordan (134)
    Kazakhstan  Kazakhstan (178)
    Kenya  Kenya (185)
    Kiribati  Kiribati (7)
    Kosovo  Kosovo (7)
    Kuwait  Kuwait (26)
    Kyrgyzstan  Kyrgyzstan (43)
    Laos  Laos (12)
    Latvia  Latvia (362)
    Lebanon  Lebanon (195)
    Lesotho  Lesotho (7)
    Liberia  Liberia (4)
    Libya  Libya (12)
    Liechtenstein  Liechtenstein (12)
    Lithuania  Lithuania (694)
    Luxembourg  Luxembourg (96)
    Macao  Macao (11)
    Madagascar  Madagascar (12)
    Malawi  Malawi (3)
    Malaysia  Malaysia (422)
    Maldives  Maldives (23)
    Mali  Mali (7)
    Malta  Malta (61)
    Marshall Islands  Marshall Islands (6)
    Mauritania  Mauritania (6)
    Mauritius  Mauritius (28)
    Mexico  Mexico (1971)
    Micronesia  Micronesia (5)
    Moldova  Moldova (191)
    Monaco  Monaco (7)
    Mongolia  Mongolia (48)
    Montenegro  Montenegro (21)
    Morocco  Morocco (260)
    Mozambique  Mozambique (12)
    Myanmar  Myanmar (61)
    Namibia  Namibia (12)
    Nauru  Nauru (9)
    Nepal  Nepal (316)
    Netherlands  Netherlands (3824)
    Netherlands Antilles  Netherlands Antilles (8)
    New Guinea  New Guinea (4)
    New Zealand  New Zealand (986)
    Nicaragua  Nicaragua (15)
    Niger  Niger (7)
    Nigeria  Nigeria (223)
    Northern Ireland  Northern Ireland (194)
    Norway  Norway (1772)
    Oman  Oman (15)
    Pakistan  Pakistan (542)
    Palau  Palau (1040)
    Palestine  Palestine (69)
    Panama  Panama (47)
    Paraguay  Paraguay (42)
    Peru  Peru (242)
    Philippines  Philippines (1353)
    Poland  Poland (3528)
    Portugal  Portugal (1372)
    Puerto Rico  Puerto Rico (108)
    Qatar  Qatar (18)
    Romania  Romania (1611)
    Russia  Russia (4543)
    Rwanda  Rwanda (9)
    Saint Lucia  Saint Lucia (9)
    Samoa  Samoa (4)
    San Marino  San Marino (7)
    Sao Tome  Sao Tome (4)
    Saudi Arabia  Saudi Arabia (140)
    Scotland  Scotland (859)
    Senegal  Senegal (14)
    Serbia  Serbia (517)
    Seychelles  Seychelles (15)
    Sierra Leone  Sierra Leone (7)
    Singapore  Singapore (658)
    Sint Maarten  Sint Maarten (2)
    Slovakia  Slovakia (663)
    Slovenia  Slovenia (686)
    Solomon Islands  Solomon Islands (3)
    Somalia  Somalia (13)
    South Africa  South Africa (1370)
    South Korea  South Korea (1721)
    South Sudan  South Sudan (1)
    Spain  Spain (1720)
    Sri Lanka  Sri Lanka (1658)
    St Vincent Grenadines  St Vincent Grenadines (13)
    Sudan  Sudan (22)
    Suriname  Suriname (3)
    Swaziland  Swaziland (13)
    Sweden  Sweden (4103)
    Switzerland  Switzerland (1250)
    Syria  Syria (105)
    Taiwan  Taiwan (507)
    Tajikistan  Tajikistan (21)
    Tanzania  Tanzania (39)
    Thailand  Thailand (423)
    Togo  Togo (19)
    Tonga  Tonga (9)
    Trinidad Tobago  Trinidad Tobago (56)
    Tunisia  Tunisia (173)
    Turkey  Turkey (2151)
    Turkmenistan  Turkmenistan (44)
    Tuvalu  Tuvalu (10)
    Uganda  Uganda (53)
    Ukraine  Ukraine (2141)
    United Arab Emirates  United Arab Emirates (82)
    Uruguay  Uruguay (105)
    USA  USA (40835)
    Uzbekistan  Uzbekistan (98)
    Vanuatu  Vanuatu (12)
    Venezuela  Venezuela (245)
    Vietnam  Vietnam (915)
    Virgin Islands  Virgin Islands (11)
    Wales  Wales (340)
    Yemen  Yemen (23)
    Yugoslavia  Yugoslavia (18)
    Zambia  Zambia (11)
    Zimbabwe  Zimbabwe (69)

